Date (formatted),Credit to households,Credit to households; RON,Credit to households; EUR,Credit to households; other currencies,Credit to households; consumer,Credit to households; consumer; RON,Credit to households; consumer; EUR,Credit to households; consumer; other currencies,Credit to households; housing loans,Credit to households; lending for house purchase; RON,Credit to households; lending for house purchase; EUR,Credit to households; lending for house purchase; other currencies,Credit to households; other lending,Credit to households; other lending; RON,Credit to households; other lending; EUR,Credit to households; other lending; other currencies,Loans to non-financial corporations,Loans to non-financial corporations; RON,Loans to non-financial corporations; RON; with maturity of up to and including one year,Loans to non-financial corporations; RON; with maturity longer than one year and of up to and including five years,Loans to non-financial corporations; RON; with maturity longer than five years,Loans to non-financial corporations; EUR,Loans to non-financial corporations; EUR; with maturity of up to and including one year,Loans to non-financial corporations; EUR; with maturity longer than one year and of up to and including five years,Loans to non-financial corporations; EUR; with maturity longer than five years,Loans to non-financial corporations; other currencies,Loans to non-financial corporations; other currencies; with maturity of up to and including one year,Loans to non-financial corporations; other currencies; with maturity longer than one year and of up to and including five years,Loans to non-financial corporations; other currencies; with maturity longer than five years,Loans to financial corporations other than MFIs,Loans to financial corporations other than MFIs; insurance corporations,Loans to financial corporations other than MFIs; insurance corporations; with maturity of up to and including one year,Loans to financial corporations other than MFIs; other financial intermediaries,Loans to financial corporations other than MFIs; other financial intermediaries; with maturity of up to and including one year,Loans to general government,Loans to general government; central,Loans to general government; local,Loans to general government; social security funds,Loans to non-residents
2007-01,40240893,23725049,15163179,1352665,31645622,22243010,8813737,588875,7902876,1123327,6025786,753763,692394,358712,323656,10027,48811753,22666379,12553299,7174470,2938610,22867117,8154964,7284592,7427561,3278257,1662012,816826,799419,3442250,33053,10369,3409196,526202,2637906,1139523,1498369,13,38221780
2007-02,41375402,24084359,15840419,1450624,32506671,22579455,9350054,577162,8169765,1123287,6186245,860233,698967,381617,304120,13230,50531568,24093542,13519000,7464971,3109572,23136484,8196742,7319423,7620319,3301542,1734332,775099,792111,3574723,31764,10460,3542959,617061,2651808,1157412,1494384,13,36593842
2007-03,43251370,24968798,16691575,1590998,34099096,23384279,9976090,738727,8403159,1156040,6407731,839388,749116,428479,307754,12883,52683532,25408998,14015589,8007540,3385869,24048163,8357297,7651209,8039658,3226371,1691287,753149,781935,3029264,25183,10434,3004081,417752,2694865,1177960,1516892,13,39038382
2007-04,44760660,25778054,17119205,1863401,35251272,24142503,10173836,934933,8720655,1187551,6617986,915118,788733,447999,327383,13351,54681245,26492512,14516296,8316374,3659842,25097745,8741428,7984222,8372095,3090988,1628743,706868,755377,3164209,42181,10524,3122027,507882,2729443,1177357,1552074,13,22122591
2007-05,46841742,26946294,17697564,2197884,37036157,25254537,10536786,1244834,8881262,1194314,6772337,914611,924324,497443,388442,38439,56695934,27632164,15154489,8471763,4005912,25965228,8853081,8374526,8737621,3098542,1588137,737975,772430,2962257,32447,629,2929810,518941,2720703,1084324,1636367,12,18511372
2007-06,48997569,27884629,18485462,2627478,38907194,26151449,11231214,1524531,9083692,1213773,6852244,1017675,1006683,519407,402004,85272,57236272,28455334,15610454,8535154,4309726,25721867,8812901,8115657,8793310,3059071,1593344,711907,753820,2797499,32438,936,2765060,550720,2810082,1061085,1748997,0,19857478
2007-07,52544077,28898741,20517345,3127991,41615056,27090620,12675575,1848861,9752395,1236989,7362994,1152411,1176626,571131,478776,126719,59216497,29010876,15760078,8606525,4644273,27012629,9101100,8651833,9259696,3192993,1715071,739068,738854,2900884,35088,3617,2865795,589278,2883363,1056737,1826627,0,21786581
2007-08,57024372,30027141,23227593,3769638,44904463,28150436,14484765,2269261,10782899,1263417,8193667,1325816,1337010,613288,549161,174562,61989584,29230024,15358986,8914513,4956525,29200813,9819874,9326978,10053960,3558748,1920769,854559,783420,3081819,32562,1029,3049257,663350,3011267,1073011,1938256,0,23098186
2007-09,60478029,31007771,25168113,4302146,47371152,29034488,15713306,2623358,11615083,1312191,8850365,1452527,1491795,661092,604442,226261,65446386,30612325,16150941,9165625,5295759,31253997,10608197,9851962,10793838,3580064,1972567,858367,749130,3137753,32090,432,3105663,672621,3105005,1065455,2039547,2,21716085
2007-10,63257880,32079591,26427229,4751059,49601228,30002317,16585236,3013676,12009313,1367280,9186396,1455637,1647338,709994,655598,281746,66444769,31206929,16304345,9179337,5723247,31690653,10767981,9679860,11242812,3547187,1982904,818874,745409,3616907,49201,17226,3567706,1059610,3260075,1104747,2155327,0,21874389
2007-11,67816586,32925393,29204000,5687193,52733700,30749069,18362987,3621644,13180598,1414890,10073570,1692137,1902288,761434,767443,373411,69798366,31950743,16556573,9317565,6076605,34102409,11461561,10433278,12207569,3745214,2015613,908762,820840,3502638,37834,5198,3464805,1007938,3440582,1060212,2380370,0,21818848
2007-12,71507708,33572753,31595285,6339670,55108014,31270246,19855423,3982345,14193216,1462248,10838436,1892532,2206478,840259,901425,464793,72955437,32576846,16723604,9378441,6474801,36646054,11836063,11417618,13392373,3732537,1911255,970443,850840,3717598,34527,626,3683070,1130474,3642118,1045993,2596125,0,23805928
2008-01,74146014,33944213,33086068,7115732,56817883,31567771,20775953,4474159,14901903,1475451,11329579,2096874,2426228,900992,980537,544699,76408434,33892070,17589835,9677548,6624688,38540090,12244953,12146570,14148567,3976274,1970744,1104788,900742,3713058,34386,692,3678671,1076634,4382101,1783690,2598411,0,23516382
2008-02,76672985,34778445,33990850,7903690,58465316,32270018,21208339,4986959,15493454,1501820,11713058,2278576,2714216,1006608,1069453,638155,77831507,35047136,17734831,10264173,7048132,38866319,12346265,12138732,14381323,3918052,1873121,1114855,930076,3836400,42610,7641,3793790,1171311,4327487,1705929,2621558,0,19731198
2008-03,79641977,35711999,35200024,8729954,60487292,33056344,21901923,5529025,16057535,1534513,12067099,2455922,3097150,1121142,1231002,745006,81092871,36767722,19037329,10309766,7420628,40352768,13075501,12511070,14766198,3972381,1863388,1136959,972034,3871928,34444,744,3837485,1201066,4389620,1686882,2702738,0,19500883
2008-04,81735012,36608767,36035008,9091236,62017056,33870168,22386539,5760350,16325227,1552531,12248124,2524573,3392728,1186069,1400346,806314,83241242,38423852,19867712,10731598,7824543,40646982,12972301,12666206,15008474,4170408,2053884,1110921,1005603,3757801,34214,755,3723587,1143198,4547223,1696578,2850645,0,20212891
2008-05,83251408,37358097,36903035,8990276,63050510,34540514,22907129,5602867,16520033,1568764,12424360,2526910,3680865,1248819,1571547,860499,84773499,39439626,20247979,10966134,8225513,41476439,13259615,12731188,15485636,3857433,2050762,1010885,795786,3809421,34753,1191,3774669,1196271,4803839,1702185,3101654,0,19241824
2008-06,86918173,38044965,38944846,9928362,65521202,35167692,24112239,6241271,17328076,1567941,13041117,2719019,4068896,1309332,1791491,968073,86900945,40051336,20780083,10869931,8401322,42848817,13905792,13148061,15794965,4000792,2206554,1036811,757427,4361152,34917,1093,4326235,1361173,4957129,1694789,3262341,0,18421387
2008-07,87822743,39297887,38733609,9791247,66583141,36357551,24055715,6169875,16957453,1574433,12761795,2621225,4282149,1365903,1916099,1000146,86482990,40656975,21078026,10813684,8765266,41864396,13286841,12812719,15764836,3961619,2220834,940462,800323,4386515,34637,1052,4351878,1410150,5136299,1690240,3446059,0,16882278
2008-08,90558587,40249393,40203985,10105209,68328252,37256534,24891159,6180559,17603778,1590564,13183468,2829746,4626558,1402296,2129358,1094904,88622331,41197957,21273857,11003059,8921042,42962748,13706473,13065092,16191183,4461626,2591603,1009219,860804,4448981,34925,1571,4414056,1439253,5268364,1724612,3543752,0,19184540
2008-09,96047389,41016609,43540821,11489960,72045281,37979688,27043162,7022431,19085782,1604781,14284123,3196878,4916327,1432140,2213536,1270651,93581044,42285037,21783122,11304639,9197276,46305629,15300908,14011561,16993161,4990378,2829226,1209853,951299,4545699,34607,1342,4511091,1461901,5380704,1733788,3646917,0,14156785
2008-10,95765174,41377918,42451539,11935718,71960744,38310496,26353830,7296418,19142785,1629627,14275858,3237299,4661646,1437795,1821850,1402000,93029089,42492527,21932717,11360430,9199380,44963375,15155932,13619559,16187884,5573188,3179205,1325193,1068790,4269353,52230,22144,4217122,1150570,4776799,982853,3793946,0,20388269
2008-11,96825250,41299655,43881390,11644205,72564286,38239290,27231484,7093512,19730136,1638696,14919453,3171987,4530828,1421669,1730453,1378706,94189106,42424174,21584027,11637169,9202977,46295591,15738758,13967796,16589037,5469341,3129389,1294396,1045557,4116624,50871,20554,4065754,1053534,4841744,1008033,3833651,60,20478776
2008-12,99204666,40940891,45812433,12451342,73694576,37880941,28293133,7520502,20898618,1646742,15825932,3425944,4611471,1413208,1693368,1504896,94529236,40870015,20528972,11261554,9079489,48941843,16523096,14830485,17588262,4717378,2569459,1221868,926051,4321780,95975,61823,4225805,1019710,6249421,2334575,3914784,62,19928612
2009-01,102975269,40585885,48997849,13391534,75793535,37539566,30183884,8070085,22349560,1646504,16994836,3708221,4832173,1399816,1819129,1613228,99160963,41501040,21169063,11304618,9027358,52456504,17686752,15842996,18926755,5203420,2862665,1339377,1001379,4299483,98818,74076,4200665,1023556,4913547,972931,3940551,66,23654749
2009-02,102889143,40383650,49096035,13409458,75999938,37342230,30314246,8343463,22029237,1645598,16944732,3438907,4859968,1395822,1837057,1627089,99857769,41737566,21531767,11197295,9008504,52942205,17905764,15878982,19157460,5177999,2863725,1307096,1007178,4143158,86653,61809,4056505,1037387,4961679,973046,3988568,65,28497390
2009-03,101226625,40091375,48223531,12911720,74787936,37050288,29703115,8034533,21655734,1646295,16702273,3307166,4782956,1394791,1818143,1570021,97248318,41160472,21294103,10946687,8919682,51434472,17556810,15089572,18788090,4653373,2485939,1220063,947372,4142076,143733,119253,3998343,920356,4951796,956573,3995160,63,27811012
2009-04,100176332,40017582,47493539,12665211,73924706,36973834,29103854,7847018,21506899,1657999,16582424,3266476,4744726,1385748,1807262,1551716,96376282,40867869,21403925,10623675,8840269,51001937,17673420,14719488,18609029,4506476,2497684,1078658,930134,4001213,141738,117224,3859474,871031,5047710,988169,4059480,61,28484923
2009-05,99900039,40034725,47328159,12537155,74330715,37114386,29030679,8185650,22133045,1738912,16665686,3728447,3436279,1181428,1631793,623058,95438822,40368996,21048598,10523427,8796970,50881729,17494975,14728655,18658098,4188098,2318406,979249,890442,3740679,45649,21184,3695030,822684,5092472,1006565,4085847,60,41556431
2009-06,99587067,39606722,47511081,12469263,73901036,36721707,29042341,8136988,22283685,1739118,16832326,3712242,3402346,1145897,1636415,620033,94806075,39825040,20564635,10561287,8699118,50881643,17151964,14902112,18827567,4099392,2165411,1054658,879323,3663205,60492,36159,3602713,798016,5276602,1129315,4147228,60,38814549
2009-07,99453465,39498544,47569117,12385804,73746995,36633607,29034718,8078671,22321274,1737589,16893415,3690270,3385196,1127348,1640985,616863,95029412,39085146,20110491,10365313,8609342,51884813,17163446,15153277,19568090,4059454,2094073,1111870,853511,3422022,64368,40017,3357654,788098,10038333,5718208,4320066,59,43160811
2009-08,99571472,39448150,47647092,12476230,73738462,36599710,28999635,8139117,22456144,1734452,17004237,3717455,3376866,1113988,1643220,619658,95844476,39036852,20179501,10304937,8552413,52923341,17200505,15782544,19940293,3884284,2013363,1023701,847220,3266880,67610,43444,3199271,721940,10015570,5628235,4387277,58,39839455
2009-09,99454957,39399041,47643950,12411966,73453741,36572239,28780501,8101002,22641429,1725700,17221785,3693944,3359787,1101102,1641664,617021,96164232,39389486,20746450,10202298,8440738,53077375,16943363,16112322,20021691,3697371,1934789,853992,908591,3295489,56998,32969,3238491,713011,10628388,6205839,4422492,57,38345449
2009-10,100928123,39199050,49108337,12620736,73833791,36362419,29244825,8226547,23655335,1727897,18162558,3764880,3438997,1108734,1700954,629310,96916859,39182986,20604754,10083569,8494662,54115113,17436235,16487303,20191575,3618760,1846561,860268,911932,3369382,66359,31204,3303023,830861,11123504,6331919,4791528,57,47678948
2009-11,100599226,38985513,49160474,12453239,73534465,36275212,29127904,8131349,23988368,1711806,18577757,3698806,3076392,998495,1454813,623084,97010337,39561697,21170026,9986127,8405544,53942523,17224378,16143354,20574791,3506117,1743712,863872,898533,3244125,70018,27029,3174108,849701,11252879,6400811,4852013,56,51415793
2009-12,100218043,38810421,48948103,12459518,72815089,36029471,28654664,8130953,24245809,1704400,18834487,3706923,3157145,1076550,1458952,621642,96194288,39216262,20817509,9994218,8404535,53305114,16697277,15810868,20796970,3672912,1928638,809933,934341,3474788,69674,17037,3405114,1033199,11310273,6330747,4979472,54,59866483
2010-01,98539145,38524520,47771216,12243408,71428908,35711046,27730893,7986969,23975765,1700159,18630019,3645588,3134472,1113315,1410305,610852,97172644,40109203,21756378,10069994,8282831,53271471,16427700,15891592,20952179,3791970,1944058,938490,909422,3573203,89574,1276,3483630,950459,11293321,6325982,4967287,52,54838045
2010-02,97901838,37873298,47842540,12186001,70617091,35162162,27511354,7943575,24246098,1693479,18918203,3634416,3038649,1017657,1412983,608010,97801606,40051200,21924781,9920571,8205848,53898469,16801830,16149989,20946650,3851937,2038733,980522,832683,3463636,87321,1272,3376315,1062092,11327805,6355703,4972052,51,59039325
2010-03,98400303,37904809,48117936,12377558,70612431,35197367,27345967,8069096,24708068,1679789,19338632,3689647,3079804,1027654,1433336,618814,97697435,39534345,21487898,9771078,8275368,54203966,17035651,15457464,21710851,3959124,2266517,873489,819118,3306333,83947,1352,3222387,816573,11317607,6290952,5026606,49,68239570
2010-04,99222927,37853721,48802438,12566768,70987015,35178985,27572728,8235302,25160232,1667032,19802074,3691127,3075680,1007705,1427636,640339,97830267,38832584,21092762,9503917,8235905,55130442,17576462,15690831,21863149,3867241,2213296,831048,822896,3269192,81594,1451,3187598,841844,11388510,6336563,5051899,49,48944304
2010-05,100493164,37877483,49825470,12790211,71453798,35223430,27857757,8372612,25894184,1658692,20466741,3768752,3145182,995361,1500973,648848,99456881,38756440,21062946,9493101,8200393,56394077,17754549,16172573,22466954,4306365,2548732,914061,843571,3162065,89740,11261,3072325,744583,11531071,6595441,4935582,48,43418099
2010-06,104296343,37595659,52461100,14239585,67638537,28309517,29375894,9953125,27855396,1665313,21951892,4238192,8802410,7620828,1133314,48268,103250326,39356278,21580644,9644638,8130996,59520910,18276979,17205995,24037936,4373138,2512513,963048,897577,3262204,78684,1256,3183521,835802,11787718,6824507,4963162,49,37726229
2010-07,102109279,37389974,51268586,13450719,66043449,28175378,28460991,9407080,27367870,1652531,21712343,4002996,8697960,7562065,1095252,40644,101575230,39727988,21755138,9895943,8076907,57920214,17570061,17001123,23349030,3927028,2151736,984525,790768,3014441,77892,1690,2936549,739318,11629380,6648911,4980422,47,43730957
2010-08,103042104,37376810,51628746,14036548,66247153,27979408,28451207,9816538,27854205,1640065,22036450,4177690,8940746,7757337,1141089,42320,101883918,39263092,21227121,9980521,8055451,58641747,17657750,17511666,23472332,3979079,2154287,1006164,818628,2741643,75276,1845,2666367,750985,11117094,6026961,5090087,46,45717805
2010-09,102636168,37259516,51800723,13575928,65588096,27777424,28320458,9490214,27959710,1629392,22296655,4033663,9088362,7852700,1183610,52052,102499834,39100350,21049655,9846258,8204436,59795870,17743142,18474813,23577915,3603614,1798725,1037030,767859,2794466,70036,2699,2724431,854755,10116519,4944736,5171738,45,45887185
2010-10,101173304,36490407,51552445,13130452,64219396,27052129,27959673,9207595,28040693,1620784,22528668,3891241,8913215,7817495,1064104,31616,103123669,39644694,21194291,10068469,8381933,60095096,17912175,18276231,23906690,3383879,1620854,999375,763650,2539327,69045,1094,2470282,652230,10179365,4982034,5197286,44,46964784
2010-11,101784881,36176140,51856586,13752155,64339386,26751260,27947594,9640531,28514341,1605667,22830344,4078329,8931155,7819212,1078648,33294,103669441,39581164,21134137,10146862,8300165,60550649,17819367,18752854,23978428,3537627,1697597,1043828,796202,2470526,64306,315,2406220,601040,10753834,5039368,5714423,43,45392946
2010-12,102099829,35914598,51994822,14190409,64247262,26531367,27763398,9952497,28944164,1592808,23146349,4205008,8908402,7790423,1085075,32905,104617927,39977561,20546258,10097179,9334124,60984646,17283465,18977475,24723705,3655721,1746296,1007993,901432,2575806,61664,9949,2514143,714352,11245949,5265638,5980270,42,50515530
2011-01,100773344,35432153,51717023,13624168,62979953,26030634,27398943,9550376,28862605,1581505,23238898,4042202,8930786,7820015,1079182,31590,104501924,39987449,20851455,9808121,9327873,61062275,17041715,18931265,25089295,3452199,1744631,935566,772002,2550840,59552,10026,2491289,740039,11059500,5198613,5860846,41,49217687
2011-02,99756884,35115957,51169152,13471775,62353708,25856289,27047069,9450350,28608412,1573139,23044851,3990423,8794765,7686530,1077233,31002,104229342,40382865,21126012,9915521,9341333,60430347,16987328,18610938,24832081,3416130,1623195,1029742,763193,2644162,58463,10031,2585698,748326,11024399,5161225,5863136,39,35537115
2011-03,98033419,35033820,50137917,12861683,61158880,25762571,26377593,9018715,28075863,1561266,22701072,3813526,8798676,7709982,1059252,29442,103407031,40479813,21248780,9846192,9384841,59830503,16386042,18960397,24484064,3096715,1426461,927797,742457,2515987,56990,10033,2458997,748985,10764576,4762016,6002524,37,29525953
2011-04,97915851,35122196,50025454,12768201,60921886,25890942,26063499,8967445,28204699,1554434,22877702,3772563,8789267,7676821,1084253,28193,104170588,41481461,22147526,10020618,9313317,59659920,16430920,18722696,24506304,3029208,1383844,925530,719833,2538535,63206,16285,2475330,782457,10672399,4685458,5986906,35,29702129
2011-05,99793160,35402009,50903143,13488009,62012838,26219581,26321339,9471918,28999165,1548768,23463959,3986438,8781157,7633660,1117845,29653,105113617,41400220,21923210,9993862,9483148,60351329,16665290,18954808,24731231,3362067,1579062,1033122,749883,2762377,56352,10263,2706026,857167,11150709,5075185,6075490,35,25850870
2011-06,101911045,35432692,52480704,13997649,63155988,26227619,27094656,9833713,29910145,1546457,24230230,4133458,8844912,7658616,1155818,30478,109033129,42199533,22475926,10126042,9597565,62932677,17639670,19713526,25579481,3900918,1910081,1198931,791907,2707039,54965,10580,2652074,853906,11604076,5244831,6359211,34,35448377
2011-07,102825766,35435133,52712358,14678275,63642722,26274989,27063333,10304401,30356982,1537686,24477244,4342052,8826062,7622459,1171781,31821,110554797,43090402,23306589,10281778,9502036,63431064,18264974,19816280,25349809,4033331,2048359,1160330,824641,2638474,54865,10589,2583609,676688,7922253,1510183,6412037,33,31295670
2011-08,102546572,35614935,52694914,14236724,62945697,26298962,26661515,9985220,30629445,1533058,24876202,4220186,8971430,7782916,1157197,31317,110464955,42945684,23182768,10242209,9520708,63546678,18103487,19951098,25492094,3972593,2012806,1115249,844538,2697350,53614,10266,2643736,810954,7972741,1510625,6462084,32,23408363
2011-09,104452643,35653738,54747133,14051772,63553175,26283489,27424283,9845403,31815905,1529218,26113020,4173667,9083563,7841030,1209830,32703,113991361,43253026,23467043,10243366,9542618,66220076,19087413,20863239,26269424,4518260,2382553,1250399,885308,2987223,44746,12380,2942477,1105514,8077038,1518870,6558136,32,27480039
2011-10,104121271,35460798,54798815,13861657,62920308,26054489,27153857,9711963,32108158,1530108,26459426,4118624,9092805,7876202,1185533,31070,114054894,43586171,23834822,10191114,9560235,66193087,19076204,20813607,26303277,4275635,2259086,1156171,860378,2855631,59913,27973,2795718,1095747,8127457,1445286,6682140,30,26833276
2011-11,104537909,35286938,55434690,13816281,62620928,25909800,27162778,9548350,32968412,1509799,27226342,4232271,8948569,7867339,1045570,35660,116325553,44550101,24369452,10391462,9789186,67324173,19179690,20852699,27291784,4451279,2355815,1211813,883651,2953575,49011,16818,2904564,1164730,8119012,1451558,6667424,30,23804680
2011-12,104256083,35045795,55351977,13858311,61991593,25726874,26797091,9467629,33381975,1515835,27509826,4356313,8882515,7803087,1045060,34369,115373712,44609706,24193447,10701559,9714700,66275535,18647643,20124873,27503019,4488471,2318944,1284204,885323,3407300,42265,340,3365036,1621228,10782195,3653491,7128676,28,31756706
2012-01,104261769,34767250,55496015,13998504,61977497,25452555,26987015,9537927,33341093,1507285,27409340,4424467,8943180,7807410,1099659,36110,115077730,44087316,25538495,9012555,9536266,66532165,19845518,19856518,26830129,4458250,2397842,1149073,911335,3279794,42500,821,3237295,1520338,8631320,1498524,7132769,27,23214310
2012-02,104070092,34499701,55633164,13937227,61687181,25257423,26936448,9493311,33566436,1506391,27651872,4408174,8816474,7735887,1044845,35743,114912074,43852230,25373996,8938239,9539996,66667821,19965461,19987692,26714668,4392023,2409171,1087610,895241,3422323,68805,27325,3353518,1654549,8773889,1667456,7106407,26,21356994
2012-03,104423718,34459246,56026442,13938030,61429250,25078816,26864643,9485791,34001760,1512383,28071920,4417457,8992709,7868047,1089879,34782,116353312,44768422,25880225,9402570,9485627,67210333,20308558,20045266,26856509,4374557,2377106,1097558,899893,3623902,47995,6423,3575908,1884883,8841251,1698555,7142672,25,28035556
2012-04,104526548,34300131,56253782,13972635,61206836,24930392,26776519,9499924,34332618,1528596,28373479,4430543,8987094,7841143,1103784,42167,117510972,44955734,25890400,9568905,9496430,68116379,20988826,20347151,26780402,4438859,2424763,1105451,908646,2692099,55001,13272,2637098,986371,8747408,1550616,7196792,0,32341983
2012-05,105690268,34378479,57195071,14116717,61532025,24845315,27096297,9590413,34995663,1542293,28967697,4485673,9162580,7990871,1131078,40632,118631481,44908982,25904725,9777174,9227083,68793554,21027408,20542901,27223245,4928945,2744823,1231364,952757,2778084,47384,6350,2730699,1041127,9307628,1762307,7545320,0,30280423
2012-06,105377852,34398212,57020875,13958765,60895236,24737533,26686530,9471173,35207010,1575902,29185064,4446044,9275605,8084778,1149280,41548,118767043,46396972,27413572,9920910,9062489,67789396,20555705,20207394,27026297,4580675,2464114,1187789,928772,2941779,56585,16609,2885194,1151606,9726728,2068224,7658504,0,30023203
